customer_id,customer_name,country,segment,industry,active_flag
CUST-000001,Casa Market,UK,Enterprise,Public Sector,1
CUST-000002,Luxe Market,Israel,SMB,Public Sector,1
CUST-000003,Prime Design,Mexico,Mid-Market,Real Estate,1
CUST-000004,Casa Design,UAE,SMB,Hospitality,1
CUST-000005,Prime Furnishings,Canada,SMB,Real Estate,1
CUST-000006,Prime Depot,Netherlands,SMB,Office Supply,1
CUST-000007,Eco Design,France,Mid-Market,Interior Design,1
CUST-000008,Nordic Depot,UAE,SMB,Real Estate,1
CUST-000009,Luxe Living,Netherlands,Mid-Market,Construction,1
CUST-000010,Nordic Studio,South Africa,SMB,E-commerce,1
CUST-000011,Home Market,Japan,SMB,Real Estate,1
CUST-000012,Prime Market,Italy,Mid-Market,E-commerce,1
CUST-000013,Home Supply,Mexico,Enterprise,Construction,1
CUST-000014,Vista Supply,Chile,Mid-Market,Retail,1
CUST-000015,Craft Design,Italy,SMB,Hospitality,1
CUST-000016,Eco Living,Italy,SMB,Real Estate,1
CUST-000017,Atlas Furnishings,South Africa,Mid-Market,Public Sector,1
CUST-000018,Eco Depot,Italy,Mid-Market,Public Sector,1
CUST-000019,Nordic Market,USA,SMB,Public Sector,1
CUST-000020,Luxe Interiors,Argentina,SMB,Public Sector,1
CUST-000021,Casa Furnishings,Chile,Mid-Market,E-commerce,1
CUST-000022,Home Living,Spain,Mid-Market,Real Estate,1
CUST-000023,Home Living,Sweden,SMB,Public Sector,1
CUST-000024,Luxe Supply,Israel,Enterprise,Retail,1
CUST-000025,Luxe Studio,Japan,Mid-Market,Hospitality,1
CUST-000026,Nordic Studio,UK,Mid-Market,Interior Design,1
CUST-000027,Vista Furnishings,France,SMB,Interior Design,1
CUST-000028,Luxe Furnishings,Japan,SMB,Retail,1
CUST-000029,Casa Market,Israel,SMB,Office Supply,0
CUST-000030,Home Market,France,SMB,Construction,1
CUST-000031,Luxe Depot,Italy,SMB,Retail,1
CUST-000032,Urban Design,South Africa,Mid-Market,Retail,1
CUST-000033,Eco Studio,Germany,SMB,Hospitality,1
CUST-000034,Home Interiors,USA,Mid-Market,Construction,1
CUST-000035,Eco Living,UAE,SMB,Retail,1
CUST-000036,Prime Supply,Canada,Enterprise,Construction,1
CUST-000037,Atlas Interiors,Spain,SMB,Retail,1
CUST-000038,Luxe Interiors,Poland,SMB,Office Supply,1
CUST-000039,Casa Design,Mexico,Mid-Market,Hospitality,1
CUST-000040,Urban Market,USA,Enterprise,Interior Design,1
CUST-000041,Eco Supply,Poland,Enterprise,Public Sector,1
CUST-000042,Urban Depot,South Africa,Mid-Market,Construction,1
CUST-000043,Craft Supply,Poland,SMB,Real Estate,1
CUST-000044,Urban Interiors,South Africa,SMB,Hospitality,1
CUST-000045,Vista Studio,Mexico,Mid-Market,Retail,1
CUST-000046,Luxe Depot,Italy,SMB,E-commerce,1
CUST-000047,Nordic Market,USA,Mid-Market,Hospitality,1
CUST-000048,Vista Furnishings,Germany,Mid-Market,Hospitality,1
CUST-000049,Eco Supply,South Africa,SMB,E-commerce,1
CUST-000050,Prime Furnishings,Brazil,Enterprise,Retail,1
CUST-000051,Atlas Market,Mexico,Mid-Market,Construction,1
CUST-000052,Vista Interiors,Sweden,SMB,Office Supply,1
CUST-000053,Casa Studio,UK,SMB,Interior Design,1
CUST-000054,Atlas Furnishings,Netherlands,SMB,Hospitality,0
CUST-000055,Urban Design,Poland,SMB,Office Supply,1
CUST-000056,Eco Studio,Canada,Mid-Market,Real Estate,1
CUST-000057,Luxe Design,Israel,Mid-Market,Hospitality,1
CUST-000058,Nordic Interiors,Sweden,SMB,Public Sector,1
CUST-000059,Home Design,Chile,SMB,Public Sector,1
CUST-000060,Casa Depot,UAE,Mid-Market,Retail,1
CUST-000061,Vista Market,UAE,Enterprise,E-commerce,1
CUST-000062,Nordic Interiors,Germany,Enterprise,Public Sector,1
CUST-000063,Prime Interiors,France,SMB,E-commerce,1
CUST-000064,Urban Furnishings,Germany,SMB,Office Supply,1
